t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
5	0.59944	0.0021156	0.000741	0.0020047	0.0020667	0.002871	0.0023074	0.0010336	0.002504	0.004217	0.004828	0.0028937	0.0021217	0.000944	0.003512	0.0009243	0.0023507	0.0009253	283.343	0.00352929	0.970001	1.03093	1.24426	0.803692	0.593787	1.68411	0.350255	2.85506	0.00123615	808.961	0.44795	2.23239	0.360014	2.77767	0.444926	2.24756	0.263183	3.79963	0.393627	2.54047	0.0036347	0.602334	0.0050093
6	0.0022877	0.0020793	0.0006043	0.0020627	0.0020437	0.0028649	0.00278	0.0012996	0.0027733	0.0027646	0.0028056	0.0015553	0.0025157	0.0008047	0.0030443	0.0755697	0.0028226	0.0022457	1.10023	0.908904	1.0093	0.990789	1.03054	0.970366	1.00315	0.996863	0.290627	3.44084	0.264152	3.7857	0.467482	2.13912	0.453628	2.20445	0.319871	3.12626	24.8233	0.0402847	0.795614	1.25689	0.0021596	0.003843	0.0036346
7	0.0035137	0.0032177	0.0010563	0.0031824	0.0031697	0.004126	0.0040643	0.0020977	0.0040586	0.0040263	0.0033636	0.002049	0.0032287	0.0010383	0.0047893	0.0727647	0.0040966	0.0028176	1.09199	0.915758	1.00401	0.996009	1.01518	0.985046	1.00802	0.992042	0.328278	3.0462	0.300623	3.32642	0.516128	1.9375	0.50841	1.96692	0.321585	3.1096	15.1932	0.065819	0.68779	1.45393	0.0031053	0.0055627	0.0052667
8	0.003399	0.0032867	0.0032207	0.0032593	0.0032453	0.0042077	0.004099	0.0045064	0.0040857	0.0040966	0.003424	0.00244	0.0032634	0.0027159	0.0034713	0.0025397	0.0048243	0.002361	1.03417	0.966961	1.00431	0.995705	1.02652	0.974166	0.997339	1.00267	0.979919	1.02049	0.947543	1.05536	1.09939	0.909595	1.07099	0.933717	0.83223	1.20159	0.731628	1.36682	0.489397	2.04333	0.0056607	0.005839	0.0057267
9	0.0056059	0.005494	0.0049926	0.0054897	0.0054164	0.0069563	0.0068889	0.0071683	0.0068983	0.006855	0.0060916	0.0047153	0.0054583	0.004066	0.005526	0.0734231	0.0070023	0.0035396	1.02037	0.980039	1.01353	0.986648	1.00978	0.990311	1.00632	0.993723	0.908737	1.10043	0.890597	1.12284	1.04056	0.961023	1.03048	0.970425	0.744921	1.34242	13.2868	0.0752624	0.505491	1.97827	0.0097079	0.0103212	0.0102093
10	0.0066537	0.0064664	0.006045	0.0064683	0.0064287	0.0078446	0.0077507	0.010193	0.0078076	0.0077427	0.0068133	0.007982	0.0064793	0.0048596	0.0067863	0.0753964	0.0073611	0.0039197	1.02897	0.97185	1.00616	0.993878	1.01212	0.98803	1.00838	0.991688	0.934832	1.06971	0.908517	1.10069	1.31511	0.760394	1.29937	0.769607	0.750019	1.3333	11.1101	0.0900083	0.532488	1.87798	0.014027	0.0146357	0.0144484
11	0.0076717	0.0075165	0.008924	0.0076026	0.0075271	0.009714	0.0096142	0.012833	0.0096783	0.0096274	0.0083057	0.0086917	0.0076734	0.0067063	0.009666	0.0741835	0.00966	0.005008	1.02065	0.97977	1.01003	0.990069	1.01038	0.989726	1.00529	0.994741	1.18725	0.842279	1.16324	0.859671	1.3348	0.749178	1.32108	0.756955	0.873967	1.14421	7.67468	0.130299	0.518427	1.92891	0.0176157	0.0163634	0.0162082
12	0.0078526	0.0077537	0.0083449	0.0076791	0.008136	0.0102934	0.0102522	0.0083429	0.0102813	0.0102534	0.0077774	0.0099914	0.0076976	0.0061451	0.0080351	0.0052137	0.0103403	0.0051474	1.01276	0.987405	0.943842	1.0595	1.00402	0.995997	1.00272	0.997286	1.07625	0.929154	1.06269	0.941006	0.813767	1.22885	0.81051	1.23379	0.798314	1.25264	0.648866	1.54115	0.4978	2.00884	0.0183363	0.017844	0.0177451
13	0.0098851	0.0098297	0.0130848	0.009848	0.0097877	0.0137728	0.0136185	0.0132623	0.0137874	0.0138156	0.0099605	0.0118466	0.0098217	0.009724	0.0127356	0.0366239	0.0140422	0.0070517	1.00564	0.994396	1.00616	0.993877	1.01133	0.988797	0.997959	1.00205	1.33115	0.75123	1.32369	0.755464	0.973844	1.02686	0.962934	1.03849	0.990053	1.01005	2.87571	0.34774	0.502179	1.99132	0.0249314	0.0217317	0.0216763
14	0.011748	0.0109969	0.0157276	0.0110214	0.0109813	0.0158908	0.0152402	0.0154136	0.014163	0.0141959	0.0107425	0.0120615	0.010251	0.010647	0.014014	0.0318934	0.0143147	0.0078007	1.0683	0.936066	1.00365	0.996362	1.04269	0.959058	0.997682	1.00232	1.43018	0.69921	1.33875	0.746967	1.01138	0.98875	0.96997	1.03096	1.03863	0.962806	2.27582	0.439401	0.544943	1.83505	0.0277891	0.0238095	0.0230584
15	0.0127514	0.0125707	0.0212764	0.012617	0.0125675	0.0186827	0.0191007	0.0206471	0.0187369	0.0186162	0.0132484	0.0138449	0.0127463	0.0158964	0.0213389	0.0341431	0.0190817	0.010278	1.01437	0.985829	1.00394	0.996077	0.978116	1.02237	1.00648	0.993558	1.69254	0.590828	1.66855	0.599321	1.08096	0.925103	1.10515	0.904858	1.24714	0.801836	1.60004	0.624984	0.538631	1.85656	0.0351213	0.0265963	0.0264156
16	0.0097457	0.0100325	0.011055	0.0095389	0.0097452	0.0182722	0.0181572	0.0110464	0.0171602	0.0171314	0.0096924	0.015401	0.0095752	0.0099904	0.0112575	0.0332994	0.0174972	0.0095905	0.971413	1.02943	0.978831	1.02163	1.00633	0.993706	1.00168	0.998322	1.10192	0.907508	1.13435	0.881565	0.608376	1.64372	0.604547	1.65413	1.04336	0.95844	2.95797	0.338069	0.548116	1.82443	0.026456	0.0251467	0.0254335
