t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
5	0.878482	0.002108	0.0008033	0.0020809	0.0020447	0.002976	0.0024427	0.0011183	0.002655	0.0023729	0.0028846	0.0030037	0.0020846	0.001023	0.0046523	0.0010123	0.0036304	0.0010057	416.737	0.0023996	1.0177	0.982604	1.21832	0.8208	1.11888	0.893748	0.381072	2.62418	0.000914419	1093.59	0.457813	2.1843	0.375773	2.66118	0.490742	2.03773	0.217591	4.59577	0.277022	3.60982	0.003807	0.881485	0.0051117
6	0.0023243	0.0021353	0.0007	0.0021184	0.0021003	0.0029337	0.0028663	0.0014044	0.002853	0.0028386	0.002899	0.0016204	0.0025863	0.0009044	0.0034084	0.0763907	0.0029163	0.0023923	1.08851	0.918685	1.00862	0.991456	1.02351	0.977026	1.00507	0.994953	0.327823	3.05043	0.301166	3.32043	0.48997	2.04094	0.478713	2.08893	0.349689	2.85969	22.4125	0.044618	0.82032	1.21904	0.0023204	0.0039447	0.0037557
7	0.003493	0.0033084	0.0011647	0.0032877	0.0032657	0.004232	0.0041557	0.0021957	0.0041833	0.0051707	0.003436	0.0020177	0.0033	0.0011267	0.0048823	0.0724757	0.0046547	0.0029283	1.0558	0.947152	1.00674	0.993308	1.01836	0.981971	0.809039	1.23603	0.352043	2.84056	0.333438	2.99906	0.528359	1.89265	0.518833	1.9274	0.341424	2.92891	14.8446	0.0673646	0.629106	1.58956	0.0031824	0.0055107	0.0053261
8	0.00349	0.003371	0.0034	0.0033347	0.0033079	0.0042947	0.0042309	0.0047083	0.0041967	0.0041996	0.0036123	0.0027566	0.0033876	0.0028507	0.0037323	0.0028213	0.0051206	0.0024593	1.0353	0.965903	1.0081	0.991963	1.01508	0.985144	0.99931	1.00069	1.0086	0.991471	0.974212	1.02647	1.11284	0.898605	1.0963	0.912155	0.84151	1.18834	0.755915	1.3229	0.480276	2.08214	0.0061566	0.0062466	0.0061276
9	0.0056236	0.0054679	0.0050553	0.0054593	0.0054763	0.0071163	0.0069366	0.0071996	0.0069687	0.006958	0.0066733	0.004721	0.0056656	0.0041	0.0055823	0.0736773	0.0070426	0.0035953	1.02848	0.972313	0.996896	1.00311	1.02591	0.974748	1.00154	0.998465	0.924541	1.08162	0.898944	1.11242	1.03791	0.96347	1.01171	0.98843	0.723666	1.38185	13.1984	0.0757669	0.510507	1.95884	0.0097763	0.0103446	0.0101889
10	0.0067796	0.0066137	0.0062069	0.0065833	0.0065903	0.0080333	0.0079416	0.0102469	0.0080037	0.0079509	0.0069047	0.0079543	0.0067143	0.0048773	0.0069209	0.0744677	0.0081067	0.0043363	1.02508	0.975529	0.998938	1.00106	1.01155	0.988585	1.00664	0.993403	0.938491	1.06554	0.915526	1.09227	1.29028	0.775025	1.27555	0.783974	0.726405	1.37664	10.7598	0.0929383	0.534903	1.8695	0.0141612	0.0147339	0.014568
11	0.008487	0.008306	0.0091257	0.0089877	0.0076536	0.0098969	0.0098313	0.012624	0.0098959	0.0105139	0.0080442	0.0088106	0.0078563	0.0068015	0.0099574	0.0744788	0.0099328	0.0051119	1.02179	0.978673	1.17431	0.851564	1.00667	0.993372	0.941221	1.06245	1.09869	0.910177	1.07526	0.930011	1.28406	0.778778	1.27555	0.783975	0.865738	1.15508	7.47974	0.133694	0.514648	1.94307	0.0179363	0.0172976	0.0171166
12	0.0079626	0.0078871	0.0084443	0.0078348	0.0078443	0.0103948	0.0103631	0.0083557	0.0103485	0.010364	0.008362	0.0100739	0.007846	0.0061855	0.0083488	0.0052046	0.0104725	0.005176	1.00957	0.990518	0.998789	1.00121	1.00306	0.99695	0.998504	1.0015	1.07065	0.934015	1.0605	0.942956	0.806293	1.24024	0.803835	1.24404	0.788364	1.26845	0.623395	1.60412	0.494247	2.02328	0.0185182	0.0180365	0.017961
13	0.0110288	0.0099969	0.0131345	0.009906	0.0099082	0.0138707	0.0144225	0.012944	0.0138965	0.0141033	0.0102405	0.0114877	0.010424	0.0098668	0.0131925	0.0362444	0.0144174	0.00712	1.10322	0.906436	0.999778	1.00022	0.96174	1.03978	0.985337	1.01488	1.31386	0.761118	1.19093	0.839682	0.897487	1.11422	0.93319	1.07159	0.946546	1.05647	2.74735	0.363987	0.493848	2.02492	0.0246222	0.0225165	0.0214846
14	0.0114168	0.0112059	0.0156394	0.0112614	0.0119606	0.0154661	0.0154254	0.0155339	0.0154319	0.0159137	0.0107137	0.012018	0.0105915	0.0107812	0.0144497	0.0314654	0.0147155	0.0078804	1.01882	0.981527	0.941541	1.06209	1.00264	0.997368	0.969724	1.03122	1.39564	0.716517	1.36986	0.730002	1.00703	0.993015	1.00438	0.995635	1.01791	0.982405	2.17758	0.459225	0.535517	1.86735	0.0276574	0.0234348	0.0232239
15	0.0131094	0.012915	0.0207579	0.012906	0.0128974	0.0192579	0.0190192	0.020701	0.0190427	0.0192082	0.0134107	0.013821	0.0132787	0.0159551	0.0219037	0.0336659	0.0192242	0.0107215	1.01505	0.985171	1.00067	0.999334	1.01255	0.987605	0.991384	1.00869	1.60727	0.622173	1.58344	0.631538	1.08843	0.918757	1.07494	0.930288	1.20156	0.832254	1.537	0.65062	0.557709	1.79305	0.0345789	0.0269304	0.026736
16	0.0100262	0.0100729	0.011183	0.0097054	0.0105813	0.0185917	0.0183277	0.0111352	0.0177719	0.017464	0.0099237	0.0153644	0.0097355	0.0104302	0.0113717	0.0330541	0.0178727	0.0105634	0.995364	1.00466	0.917222	1.09025	1.0144	0.9858	1.01763	0.982675	1.11021	0.900733	1.11538	0.896557	0.607561	1.64592	0.598934	1.66963	1.07136	0.933395	2.9067	0.344033	0.591035	1.69195	0.0265474	0.0253906	0.0254373
17	0.0191004	0.0189409	0.0181791	0.0190259	0.0189014	0.0304404	0.0304106	0.0174151	0.0310693	0.0305371	0.019487	0.0211652	0.0191972	0.0153457	0.0178585	0.0336926	0.0299413	0.0116272	1.00842	0.991649	1.00659	0.993456	1.00098	0.999021	1.01743	0.982871	0.95978	1.04191	0.951765	1.05068	0.572665	1.74622	0.572105	1.74793	0.799372	1.25098	1.88664	0.530042	0.388333	2.57511	0.0393443	0.0402656	0.0401061
18	0.0233141	0.0225117	0.0202241	0.0228092	0.0226111	0.0368276	0.0374029	0.0202687	0.0377156	0.0373706	0.0235059	0.0285256	0.0213822	0.0158479	0.0197719	0.0337224	0.0325871	0.013329	1.03564	0.965583	1.00876	0.991315	0.984619	1.01562	1.00923	0.990853	0.898382	1.11311	0.867462	1.15279	0.541902	1.84535	0.550367	1.81697	0.741173	1.34921	1.70557	0.586314	0.409027	2.44483	0.0487497	0.0518397	0.0510373
19	0.0233417	0.0242661	0.0279496	0.0232601	0.0234777	0.0379848	0.0393466	0.0279176	0.0391455	0.0387825	0.0240234	0.0358976	0.0233114	0.0242384	0.0294436	0.0379473	0.0376561	0.0172194	0.961906	1.0396	0.990732	1.00936	0.96539	1.03585	1.00936	0.990727	1.1518	0.868209	1.19741	0.835135	0.70953	1.40938	0.734968	1.3606	1.03977	0.961755	1.28881	0.775908	0.457281	2.18684	0.0638472	0.0592393	0.0601637
20	0.0245194	0.0222989	0.876474	0.0233123	0.021467	0.0350756	0.0349215	0.0148291	0.0351063	0.0354156	0.0214055	0.0423503	0.0211893	0.0414693	0.0208296	0.0432351	0.0357215	0.0155927	1.09958	0.909439	1.08596	0.920844	1.00441	0.995607	0.991266	1.00881	39.3057	0.0254416	35.7462	0.027975	0.424641	2.35493	0.422775	2.36532	1.95709	0.510964	2.07566	0.481775	0.436507	2.29091	0.918825	0.0668697	0.0646492
21	0.0260015	0.0260288	0.0144567	0.0253637	0.0264477	0.041399	0.0418767	0.0154471	0.0418821	0.0413918	0.0252986	0.0439133	0.0250163	0.0134827	0.0290985	0.0396243	0.0404782	0.0210347	0.998951	1.00105	0.959013	1.04274	0.988593	1.01154	1.01185	0.988293	0.555412	1.80047	0.555995	1.79858	0.368871	2.71097	0.373127	2.68005	0.538957	1.85544	1.36173	0.73436	0.519655	1.92435	0.05837	0.0699148	0.0699421
22	0.0240567	0.026207	0.0157543	0.0255524	0.0229242	0.0367987	0.0377795	0.0156149	0.0380357	0.0370331	0.0228478	0.0437397	0.0227819	0.014336	0.029948	0.161099	0.0380037	0.0205263	0.917949	1.08938	1.11465	0.897145	0.974039	1.02665	1.02707	0.973641	0.601149	1.66348	0.654882	1.52699	0.413317	2.41945	0.424333	2.35664	0.629271	1.58914	5.37929	0.185898	0.540113	1.85146	0.059494	0.0677964	0.0699467
23	0.0294994	0.0282914	0.0158321	0.0285999	0.0283632	0.048454	0.0494823	0.0171933	0.0488993	0.0492355	0.0289313	0.0450489	0.0288754	0.0162238	0.0432291	0.0736902	0.0473198	0.0224279	1.0427	0.95905	1.00835	0.991724	0.979219	1.02122	0.993172	1.00688	0.559608	1.78696	0.536692	1.86327	0.347464	2.878	0.354838	2.81819	0.561855	1.77982	1.70464	0.586633	0.473964	2.10986	0.060881	0.0745483	0.0733403
24	0.0234734	0.0240476	0.0126994	0.0238014	0.0238064	0.038086	0.0399034	0.0124273	0.0380704	0.0385946	0.0233715	0.0467838	0.0231476	0.0134079	0.0243189	0.0174466	0.0381935	0.0184734	0.976122	1.02446	0.99979	1.00021	0.954455	1.04772	0.986418	1.01377	0.528094	1.8936	0.541012	1.84839	0.311435	3.21095	0.326296	3.0647	0.579235	1.72642	0.717409	1.3939	0.483679	2.06749	0.0594832	0.0702572	0.0708314
25	0.0400371	0.0404855	0.0156994	0.040042	0.0404627	0.0588793	0.0592279	0.0155626	0.0601461	0.059031	0.0386557	0.0460618	0.038975	0.0146453	0.0350211	0.0217349	0.0564345	0.0206193	0.988924	1.0112	0.989603	1.01051	0.994114	1.00592	1.01889	0.98146	0.387778	2.57879	0.392121	2.55023	0.262758	3.80578	0.264314	3.78338	0.375761	2.66126	0.620623	1.61128	0.365367	2.73697	0.0617612	0.0860989	0.0865473
26	0.0402975	0.0411522	0.0152344	0.0402265	0.0405515	0.0603971	0.0607403	0.0150612	0.0612351	0.0608476	0.040425	0.0508331	0.0404882	0.0148706	0.0393361	0.0197688	0.0600524	0.019829	0.979231	1.02121	0.991986	1.00808	0.99435	1.00568	1.00637	0.993672	0.370196	2.70127	0.378048	2.64516	0.247961	4.0329	0.24937	4.01011	0.367282	2.7227	0.502561	1.98981	0.330195	3.02851	0.0660675	0.0911306	0.0919853
27	0.0499782	0.050765	0.0162044	0.0494645	0.050135	0.0785903	0.0795342	0.016048	0.0799612	0.079483	0.0499079	0.0523485	0.0495473	0.015594	0.056154	0.0207854	0.0762201	0.0190487	0.984501	1.01574	0.986626	1.01356	0.988132	1.01201	1.00602	0.99402	0.319204	3.13279	0.324229	3.08424	0.201775	4.95602	0.204198	4.8972	0.31473	3.17733	0.37015	2.70161	0.249917	4.00133	0.0685529	0.102327	0.103114
28	0.0480697	0.0491463	0.0144361	0.0474239	0.048471	0.0693224	0.0703744	0.0141706	0.0710474	0.0700857	0.0477088	0.0558653	0.0485917	0.0157874	0.0440826	0.127021	0.0692937	0.0202891	0.978094	1.0224	0.978397	1.02208	0.985051	1.01518	1.01372	0.986464	0.293737	3.4044	0.300316	3.32983	0.20136	4.96623	0.204416	4.89199	0.324899	3.07788	2.88144	0.347049	0.292799	3.41532	0.0703014	0.103935	0.105012
29	0.0552318	0.0565481	0.0160425	0.0552653	0.0556276	0.084949	0.0962216	0.0170608	0.0869287	0.0860614	0.0560005	0.0595661	0.0579369	0.0180107	0.0650394	0.0249891	0.0852822	0.024722	0.976722	1.02383	0.993487	1.00656	0.882847	1.1327	1.01008	0.990023	0.283697	3.52489	0.290458	3.44284	0.177307	5.63992	0.200836	4.97919	0.310868	3.2168	0.384215	2.60271	0.289885	3.44965	0.0756086	0.114798	0.116114
30	0.058079	0.0598856	0.0170599	0.057625	0.0588854	0.088975	0.0911965	0.0178124	0.0909714	0.0899721	0.0582816	0.0632086	0.0599261	0.0183626	0.0705039	0.0258498	0.0896466	0.0261884	0.969832	1.03111	0.978596	1.02187	0.97564	1.02497	1.01111	0.989015	0.284875	3.51031	0.293736	3.40442	0.195319	5.11983	0.200196	4.99512	0.306421	3.26349	0.366644	2.72744	0.292129	3.42314	0.0802685	0.121288	0.123094
31	0.0628411	0.0634851	0.0195144	0.0615886	0.0625523	0.147446	0.154357	0.0196163	0.145883	0.149394	0.0633464	0.0677744	0.0646077	0.0197908	0.142155	0.0230547	0.150497	0.0236764	0.989856	1.01025	0.984594	1.01565	0.955224	1.04688	0.976498	1.02407	0.307386	3.25324	0.310536	3.22024	0.127084	7.86884	0.133041	7.5165	0.306323	3.26453	0.16218	6.166	0.157322	6.3564	0.0872888	0.130616	0.13126
32	0.047388	0.0615711	0.0148181	0.0494141	0.0479726	0.0907133	0.108735	0.0159956	0.0936385	0.0993018	0.04746	0.0706938	0.0621228	0.0157027	0.127466	0.0199373	0.160203	0.0185915	0.769647	1.2993	1.03005	0.970828	0.834257	1.19867	0.942969	1.06048	0.240667	4.15513	0.312697	3.19798	0.147106	6.79783	0.176331	5.67114	0.252769	3.95619	0.156412	6.39336	0.116049	8.61701	0.0855119	0.118082	0.132265
33	0.113485	0.120161	0.0184074	0.113582	0.11462	0.215072	0.237203	0.0189729	0.215777	0.221002	0.115922	0.155728	0.119249	0.0189522	0.208395	0.0232998	0.221014	0.0212734	0.944445	1.05882	0.990941	1.00914	0.906699	1.1029	0.976354	1.02422	0.15319	6.52785	0.162201	6.16519	0.0799858	12.5022	0.0882165	11.3357	0.15893	6.29207	0.111806	8.94407	0.0962537	10.3892	0.174135	0.269213	0.275888
34	0.126283	0.135697	0.0194597	0.127496	0.127962	0.23918	0.262198	0.0198194	0.240353	0.24377	0.128881	0.184719	0.133407	0.0201716	0.230882	0.0968514	0.245526	0.0243354	0.930627	1.07454	0.996359	1.00365	0.912209	1.09624	0.98598	1.01422	0.143405	6.97325	0.154095	6.48949	0.0755894	13.2294	0.0828641	12.068	0.151203	6.61362	0.419484	2.38388	0.0991154	10.0893	0.204179	0.311003	0.320417
35	0.142145	0.148508	0.0219872	0.14259	0.144001	0.292984	0.319856	0.0217337	0.291838	0.290879	0.134501	0.203828	0.134557	0.0210546	0.263617	0.0249821	0.270423	0.0254279	0.957147	1.04477	0.990201	1.0099	0.915988	1.09172	1.0033	0.996713	0.148053	6.75432	0.154682	6.46488	0.0679483	14.7171	0.0741804	13.4807	0.156473	6.39087	0.0947666	10.5522	0.0940301	10.6349	0.225815	0.345972	0.352336
36	0.122688	0.133246	0.0188779	0.124174	0.124854	0.230884	0.249297	0.0198951	0.239138	0.241143	0.131623	0.227783	0.138769	0.0197978	0.236131	0.0659308	0.243043	0.0214127	0.920759	1.08606	0.994554	1.00548	0.926142	1.07975	0.991684	1.00839	0.141677	7.05833	0.153869	6.49902	0.0798049	12.5306	0.0861692	11.6051	0.142667	7.00931	0.279213	3.5815	0.0881026	11.3504	0.246661	0.350471	0.361029
37	0.147427	0.153923	0.0228058	0.149649	0.149131	0.307957	0.340316	0.0232485	0.309696	0.31682	0.150915	0.267027	0.169483	0.0236046	0.308216	0.0284798	0.320544	0.0260329	0.957797	1.04406	1.00347	0.996538	0.904914	1.10508	0.977514	1.023	0.148163	6.74931	0.154692	6.46447	0.0683145	14.6382	0.0754928	13.2463	0.139274	7.1801	0.0924021	10.8223	0.0812146	12.3131	0.289833	0.414455	0.420951
38	0.152958	0.162971	0.024675	0.154165	0.158557	0.337364	0.36698	0.025238	0.338716	0.343536	0.156633	0.3052	0.17172	0.0231075	0.330377	0.0239238	0.344407	0.0252408	0.938558	1.06546	0.972296	1.02849	0.919299	1.08779	0.985969	1.01423	0.151407	6.60471	0.161319	6.1989	0.0687721	14.5408	0.0748093	13.3673	0.134565	7.43135	0.0724137	13.8095	0.0732877	13.6448	0.329875	0.458158	0.468171
39	0.171089	0.19186	0.0275768	0.172782	0.174258	0.416665	0.449411	0.0280403	0.418658	0.422747	0.174626	0.35027	0.189473	0.0269456	0.406068	0.0291879	0.425521	0.027177	0.891739	1.1214	0.991534	1.00854	0.927136	1.07859	0.990326	1.00977	0.143734	6.95728	0.161184	6.20408	0.0623934	16.0273	0.0672969	14.8595	0.142213	7.0317	0.0718793	13.9122	0.0638676	15.6574	0.377847	0.521359	0.54213
40	0.149576	0.152223	0.0209132	0.150557	0.150484	0.26473	0.277914	0.021839	0.268647	0.263122	0.155846	0.396432	0.1676	0.0224359	0.255931	0.101127	0.266594	0.0236155	0.982608	1.0177	1.00049	0.999515	0.952561	1.0498	1.021	0.979432	0.137385	7.27881	0.139817	7.15222	0.0785818	12.7256	0.0824953	12.1219	0.133866	7.47018	0.395135	2.53078	0.0885824	11.2889	0.417345	0.546007	0.548655
41	0.237398	0.248456	0.0256037	0.239464	0.248141	0.354257	0.398881	0.0254856	0.366961	0.361772	0.242868	0.417237	0.262732	0.025427	0.348913	0.0294334	0.365522	0.0278288	0.955492	1.04658	0.965033	1.03623	0.888127	1.12596	1.01434	0.985858	0.103051	9.70391	0.107851	9.27201	0.0638927	15.6512	0.0719409	13.9003	0.0967792	10.3328	0.0843574	11.8543	0.0761344	13.1347	0.442841	0.654635	0.665694
42	0.254788	0.262086	0.0277636	0.25664	0.257235	0.387296	0.432788	0.031227	0.264526	0.259827	0.18391	0.253197	0.199908	0.0288138	0.247481	0.0389184	0.260774	0.0392091	0.972155	1.02864	0.997687	1.00232	0.894888	1.11746	1.01808	0.982237	0.105933	9.43992	0.108967	9.17707	0.0721532	13.8594	0.0806282	12.4026	0.144135	6.93794	0.157258	6.35898	0.150357	6.65084	0.280961	0.507986	0.515283
