t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
5	0.0105312	0.006928	0.0133696	0.0071616	0.0068576	0.0071264	0.0070592	0.0124896	0.0071808	0.0069184	0.0074688	0.0374624	0.0071296	0.0114624	0.0076352	0.0116832	0.0072864	0.011968	1.52009	0.657855	1.04433	0.957551	1.00952	0.99057	1.03793	0.963458	1.92979	0.518191	1.26952	0.787697	1.76927	0.565206	1.75258	0.570587	1.60772	0.621999	1.53018	0.65352	1.64251	0.608824	0.050832	0.0479936	0.0443904
6	0.0075648	0.0071104	0.0113056	0.0071488	0.0070016	0.0073632	0.0072224	0.012304	0.0072512	0.0070144	0.0074944	0.043856	0.007328	0.011136	0.0075488	0.0114976	0.0073504	0.0120832	1.06391	0.939932	1.02102	0.979409	1.01949	0.980878	1.03376	0.967343	1.59001	0.628927	1.4945	0.66912	1.70359	0.586996	1.67101	0.59844	1.51965	0.658046	1.5231	0.656554	1.64388	0.608316	0.0551616	0.0514208	0.0509664
7	0.0084384	0.0074912	0.0119616	0.007888	0.0074144	0.0076352	0.0075392	0.0134784	0.00744	0.0073536	0.0076992	0.0513696	0.007696	0.011584	0.0112704	0.0118656	0.007584	0.0123744	1.12644	0.887751	1.06388	0.939959	1.01273	0.987427	1.01175	0.988387	1.59675	0.626271	1.41752	0.705457	1.78778	0.559354	1.7653	0.566477	1.5052	0.664365	1.05281	0.949838	1.63165	0.612878	0.0633312	0.059808	0.0588608
8	0.0076672	0.0074816	0.0117888	0.00792	0.007328	0.0073376	0.0074784	0.0134464	0.007472	0.0072288	0.0076544	0.0584032	0.0075648	0.0116992	0.0077344	0.0115808	0.0075296	0.0121536	1.02481	0.975793	1.08079	0.925253	0.981172	1.01919	1.03364	0.967452	1.57571	0.634636	1.53756	0.65038	1.79803	0.556164	1.83253	0.545693	1.54653	0.646608	1.49731	0.667864	1.61411	0.619537	0.070192	0.0660704	0.0658848
9	0.007824	0.0076512	0.0115712	0.0076288	0.0076256	0.0078496	0.0077408	0.013616	0.007584	0.0076704	0.007824	0.0640864	0.0076736	0.01192	0.008016	0.012192	0.0077376	0.0125952	1.02258	0.977914	1.00042	0.999581	1.01406	0.986139	0.988736	1.01139	1.51234	0.661228	1.47894	0.676161	1.75899	0.568508	1.73461	0.576498	1.55338	0.643758	1.52096	0.65748	1.62779	0.614329	0.0756576	0.0719104	0.0717376
10	0.0078528	0.0076	0.0115872	0.0076608	0.007616	0.0077184	0.0076832	0.0134144	0.0077376	0.0075488	0.007712	0.0711616	0.0076576	0.0136256	0.0078784	0.0122208	0.0076288	0.012768	1.03326	0.967808	1.00588	0.994152	1.00458	0.995439	1.02501	0.9756	1.52463	0.655896	1.47555	0.677713	1.74594	0.572758	1.73798	0.575382	1.77936	0.562001	1.55118	0.644671	1.67366	0.597494	0.0827488	0.0790144	0.0787616
11	0.007728	0.0076832	0.0114016	0.0077088	0.0077216	0.0078176	0.0077824	0.0137152	0.0077856	0.0077344	0.0080032	0.0784288	0.008016	0.011632	0.0081792	0.0124704	0.007968	0.0129856	1.00583	0.994203	0.998342	1.00166	1.00452	0.995497	1.00662	0.993424	1.48396	0.67387	1.47536	0.6778	1.76234	0.567429	1.7544	0.569995	1.4511	0.689133	1.52465	0.655889	1.62972	0.613603	0.0898304	0.0861568	0.086112
12	0.0080704	0.0079616	0.011792	0.0079488	0.0079136	0.0077984	0.0079424	0.0137504	0.007808	0.0078016	0.0078912	0.0852992	0.0078336	0.0114816	0.008048	0.0122464	0.0078432	0.0127392	1.01367	0.986519	1.00445	0.995572	0.981869	1.01847	1.00082	0.99918	1.48111	0.67517	1.46114	0.684396	1.73127	0.577612	1.76323	0.56714	1.46569	0.682274	1.52167	0.657173	1.62423	0.615674	0.0970912	0.0933696	0.0932608
13	0.0082848	0.0080384	0.0120256	0.0081376	0.007952	0.0083072	0.008192	0.0140192	0.0082272	0.008176	0.0084352	0.093008	0.0090496	0.0122272	0.0087424	0.0131168	0.0083488	0.0134432	1.03065	0.970259	1.02334	0.977192	1.01406	0.986133	1.00626	0.993777	1.49602	0.668441	1.45153	0.68893	1.71133	0.584341	1.6876	0.592559	1.35113	0.74012	1.50037	0.666504	1.6102	0.621043	0.105034	0.101293	0.101046
14	0.0083616	0.0080928	0.01192	0.0081472	0.0078688	0.0081024	0.008336	0.0139968	0.008432	0.0080128	0.008352	0.100525	0.009376	0.0120672	0.0085888	0.0133632	0.008384	0.0137664	1.03321	0.967853	1.03538	0.965829	0.971977	1.02883	1.05232	0.950285	1.47291	0.678926	1.42556	0.701477	1.67908	0.595565	1.72749	0.578875	1.28703	0.776982	1.55589	0.64272	1.64198	0.609019	0.112445	0.108886	0.108618
