t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
5	0.0093216	0.00704	0.013152	0.0070816	0.0069792	0.0072096	0.0071744	0.0126016	0.0071552	0.0070016	0.0074144	0.037808	0.0073152	0.0113536	0.0074464	0.011792	0.0073472	0.0121312	1.32409	0.755235	1.01467	0.98554	1.00491	0.995118	1.02194	0.978533	1.86818	0.53528	1.41092	0.708759	1.75647	0.569324	1.74789	0.572118	1.55206	0.644307	1.58358	0.631479	1.65113	0.605645	0.05096	0.0471296	0.044848
6	0.0073632	0.0072	0.011312	0.0072704	0.0070176	0.007264	0.0073408	0.012272	0.0073728	0.0072032	0.0074848	0.0443168	0.0074048	0.0111904	0.0076032	0.0115584	0.0072704	0.0121568	1.02267	0.977836	1.03602	0.965229	0.989538	1.01057	1.02355	0.976996	1.57111	0.636492	1.53629	0.650919	1.67175	0.598175	1.68943	0.591917	1.51124	0.66171	1.5202	0.657807	1.6721	0.598052	0.0556288	0.05168	0.0515168
7	0.0077408	0.0075264	0.0116672	0.0076608	0.0075264	0.0076352	0.0076864	0.0130112	0.0076032	0.0075904	0.0078752	0.05176	0.0076544	0.011488	0.010064	0.0120128	0.0077824	0.012672	1.02849	0.972303	1.01786	0.982456	0.993339	1.00671	1.00169	0.998316	1.55017	0.645091	1.50723	0.663467	1.69276	0.590753	1.70411	0.586818	1.50084	0.666295	1.19364	0.837773	1.62829	0.614141	0.0634272	0.0595008	0.0592864
8	0.0076832	0.0076704	0.0117632	0.0076576	0.00752	0.0079616	0.0075552	0.0133536	0.0075776	0.0074304	0.0077728	0.0590976	0.0075968	0.0115712	0.0078368	0.0117536	0.007696	0.0124512	1.00167	0.998334	1.0183	0.982031	1.05379	0.948955	1.01981	0.980574	1.53358	0.652067	1.53103	0.653156	1.76747	0.56578	1.67725	0.596214	1.52317	0.656527	1.4998	0.666757	1.61788	0.618093	0.0708608	0.0667808	0.066768
9	0.007872	0.0078944	0.0116832	0.0077632	0.0078432	0.0078336	0.0079264	0.0133024	0.0076768	0.0077568	0.0078976	0.0649248	0.0077152	0.011488	0.0080928	0.0122368	0.0080032	0.0129856	0.997163	1.00285	0.9898	1.0103	0.988292	1.01185	0.989686	1.01042	1.47994	0.675705	1.48415	0.673788	1.67824	0.595862	1.69812	0.588886	1.48901	0.671588	1.51206	0.661349	1.62255	0.616313	0.076608	0.0727968	0.0728192
10	0.0077856	0.0077152	0.0115616	0.0078464	0.007664	0.0077216	0.0077952	0.0132896	0.0078336	0.0077344	0.0079488	0.0722048	0.0079328	0.0135424	0.0080416	0.0124576	0.0079392	0.0130976	1.00912	0.990958	1.0238	0.976754	0.990558	1.00953	1.01283	0.987337	1.49855	0.667312	1.485	0.673402	1.70484	0.586564	1.72109	0.581026	1.70714	0.585775	1.54914	0.645518	1.64974	0.606157	0.0837664	0.0799904	0.07992
11	0.0079424	0.0079584	0.0116896	0.0078912	0.0078496	0.0078304	0.0080096	0.0133504	0.0079072	0.0078368	0.0080832	0.0794624	0.008336	0.0114304	0.0083264	0.0126048	0.0080128	0.0131744	0.99799	1.00201	1.0053	0.994728	0.977627	1.02289	1.00898	0.991097	1.46884	0.68081	1.4718	0.679442	1.6668	0.599952	1.70494	0.586529	1.37121	0.729283	1.51384	0.660574	1.64417	0.60821	0.091152	0.0874048	0.0874208
12	0.0081024	0.008704	0.0116672	0.0081632	0.008112	0.0079584	0.0081248	0.0136672	0.0080768	0.0079904	0.008032	0.086528	0.0080928	0.011648	0.0082848	0.0124032	0.008064	0.0130592	0.930882	1.07425	1.00631	0.993728	0.979519	1.02091	1.01081	0.989303	1.34044	0.746023	1.43997	0.69446	1.68216	0.594474	1.71733	0.582299	1.4393	0.69478	1.4971	0.667957	1.61944	0.617496	0.0981952	0.0946304	0.095232
13	0.0081856	0.0081632	0.0115936	0.008176	0.008112	0.0081696	0.008336	0.0136256	0.0084064	0.0083328	0.0085088	0.0936672	0.0084064	0.0121536	0.0086112	0.0130944	0.008512	0.0136032	1.00274	0.997264	1.00789	0.992172	0.980038	1.02037	1.00883	0.991245	1.42023	0.704113	1.41634	0.706045	1.63455	0.61179	1.66784	0.599577	1.44576	0.69168	1.52062	0.657625	1.59812	0.625735	0.105261	0.101853	0.10183
14	0.0083424	0.0083232	0.0117568	0.0083552	0.0082208	0.0083424	0.0084416	0.0136032	0.008464	0.0082592	0.008512	0.100851	0.0083904	0.0115392	0.0085504	0.0132512	0.0084704	0.0137472	1.00231	0.997698	1.01635	0.983914	0.988249	1.01189	1.0248	0.975804	1.41253	0.707948	1.40928	0.709581	1.61145	0.62056	1.63061	0.613267	1.37529	0.727121	1.54978	0.645255	1.62297	0.616154	0.112608	0.109194	0.109174
